sentence,label
快递迅速送货上门方便是正品,1
很假！穿着一点都不舒服，最好不要买,0
不错，拿在手上感觉很好,1
质量挺好的，还会光顾的。,1
鞋子有点难看，跟船一样！,1
做工粗糙，图片上是红嘴巴实物确实粉红色，不好看！表面上的布根本蹦不平整，全是皱的！不管别人的怎么好，我拿到的就是劣质的很！差差差！,0
多次购买了，质量不错。晚上不漏。,1
衣服收到不是怎么喜欢有点差别。快递员的态度很好? ? ?,0
注释详尽，我是当作古典文学入门书籍买的。,1
不说怎么样吧。不是自己收的。只想说太慢太慢，明明写的情人节当天到的。如果这能算违约多好……,0
"不好吃,感觉不是很脆",0
百润 Bairun 高档合金核桃夹 干果钳 ZR851非常漂亮 做工精致 就是还长点就还,1
太烂了，奶粉都无法溶解，结成一块块的黏在奶瓶上，跟我以前买的特福芬的一段差太远了，也是京东买的质量怎么差这么多！假货吧，以前那个一段都是瞬间溶解，这个怎么晃都不溶解。。,0
我买的是蓝宝色，什么送黑色的包包给我，生气生气，你们什么搞的，不会相信你们了,1
制冷时声音稍微有点大，其它没问题,1
赠品要求不能太高的，一般般！,0
做稀饭不错，做排骨猪蹄很好。做米饭差点。,1
收到的时候大大出乎我的意料，非常的棒，很喜欢。做工非常精细，鞋子里面和内衬都很精细。穿起来非常舒服，走起来也不累。,1
很有用的一本书。看了好几盘。,1
性价比很高的图书，活动也很好,1
戴上面罩跟外星人似的。最糟糕的是刺脸，因为里面有层防辐金属网，而贴面的那层布料又薄又不够柔软，所以皮肤被刺得很难受，如不加以改进，这东西根本不可购买。,0
挺好的，质量不错，大小合适，很喜欢。,1
质量太差了，一直掉丝丝。,0
很好看，相当超值很划算,1
有点不适合我家孩子玩 太难了拼装,0
第一感觉不是真皮皱巴巴的，跟前在实体店买的跟本不一样，想退货又太麻烦了，不能去网上买这种皮衣了,0
这个面，越吃越不好吃，最后一箱吧，买一箱子方便面，就送一根火腿肠，知道卤蛋，抠门到家喽,1
看完之后你离成功越来越远。,1
不错的书，质量很好，内容通俗易懂,1
真的是盗版 我有一本想买一本放学校 京东买的真的是盗版 书页发灰 正版纸硬而且白 真不知道新东方怎么允许京东卖的 讨厌 快退款,0
真心不怎么样。。。很皱，拉链不光滑，扣子很紧，感觉用不了几次就会坏。。。看着像路*,0
还行吧，这些书就这样的还行吧，这些书就这样的,1
感觉质量不怎么样，估计用一次就没用,0
衣服上身非常漂亮，质量没的说，好好好,1
非常漂亮的一款鞋子，质量款式都很好，穿上很舒适百搭，店家服务态度非常热情，不错值得推荐！,1
包装很精美，过年买来送人的，很不错，比超市便宜多了。,1
送货很快，包装完整，挺喜欢的说，哈哈。,1
产品和图片以及描述不一样，不是纯棉而是纤维涤纶产品！怀疑真伪 奉劝消费者还是不要购买的好 毕竟是给宝宝用的东西,0
很有眼缘，店家服务一级棒，送的小礼物也很爱！,1
质量不错，枕套够大。,1
完全不能用，并且京东也不负责联系金史密斯！打电话也不接，预约了维修工人到时间也不来！真是对京东彻底失望！！！,0
好！好！好！买吧买吧！！！！,1
希望探究的人，会认为是好书。,1
断章取义的西方哲学。,0
宝贝质量很好，做工不错，与店家描述的一样，价格实惠,1
给外甥女买的，现在5岁的样子 书的插画很好看 还可以学拼音，寓教于乐了,1
不合身 差评！！！！！老姐穿着不合身 奇怪,0
买少了，还真是不错，穿着舒服,1
不是正品，没有精华液,0
刚买，还没有开始看，很期待,1
色差太大，买来直接丢了,0
物流太慢了，等了五 天啊！衣服的领口边边起线严重，送缝纫部修了才能穿。感觉买亏了！,0
毛巾很好，是纯棉的，柔软吸水性好，颜色鲜艳，儿子喜欢.,1
舒服。。。。。。家人很喜欢。。。。,1
洗完都变了，一分价钱一分货呢?,0
2月5日下单，17日送到，在市中心，这也叫211吗？？？,0
好书！值得收藏！就是书皮有黑的印。,1
从来没有买到过这么歪的衣服，严重起球，穿这么多海澜之家的衣服就这件最不爽,0
我不算胖，但是穿着这裤子实在太危险了，好怕里面的线会崩开,0
还好 快递给力 东西还没用过,1
有臭味，洗完后味道变腥味，本来想退的，后来觉得麻烦洗净了会没味道，谁知道洗了后一股腥味、真是没法穿，总之最差的一次网购,0
还是差！还是因为快递,0
用了几天，感觉还算可以.,1
该书还是挺实用的。。。,1
烂货，根本不是说的那样，。,0
外套图案还可以，但里面的棉发黄，看起来像次品。棉还是破洞的。,0
快递稀烂，东西到了也不打电话。还是我自己主动打电话过去问的。,0
非常好，质量很好，价格也便宜。,1
和红红火火和红红火火好和红红火火,1
颜色很难看……比想象的大,0
不好，太容易坏了，装在车上没多长时间就漏油，不能用。不建议购买。,0
快递速度还可以。书本的纸张一般般，特别毛糙。最可气的是书中有很多是空白页，根本无法阅读，缺页非常严重，上当受骗！,0
袜子不错，就是有点起球！,1
这这头不是决明子的，是荞麦皮，商家是骗子,0
买不锈钢盆送的，质量优，好评,1
买把，谁买谁后悔，这个牌子,0
鞋子的质量太差了，就是用朔料做,0
垃圾！地毯小的很都不到边，申请换货了又给我自动取消申请！还不去实体店选购！提醒大家别上当！,0
学材料力学的最佳参考书之一，向大家推荐。,1
给孩子用的，应该还可以～,1
煲汤煮粥挺好的，但是往外倒的时候就不太方便,1
会起球，一点都不好穿，一次性的,0
真的很不喜欢。。。。。。,0
拍下M码，快递L码给我，做事太不负职任了。衣衣也没有想象好。差评,0
颜色是西瓜红色，名副其实，绒情哑光，不错之选，很喜欢,1
现在还在用，手感不错，给力，很支持！,1
就是拿来学习日语用的，挺好的,1
定了一个月没人理，最后京东介入退款了，垃圾商家,0
摄像头很清晰，很好，也很方便。。,1
我也是醉了 上面烤东西的一个大槽 放不进去，这样我怎么烤东西 还有你们要卖就买套餐3送的东西太垃圾了 顶多10快， 烤架的铁皮太薄了 两边的放东西的东西也没有,0
给妈买的，挺好的，妈妈喜欢。,1
烧烤味最好吃，相对没那么辣,1
这速度真的是太不给力了，同一天拍了好几样东西都到了，这鞋子硬是晚了三天,0
商品还可以，就是物流太差了发天天快递简直就是老黄牛的速度。24日发货31号收到的这速度唉,0
质量不错 做工细 款式也好 外观漂亮 给描述都一样 我很喜欢谢谢老板的推荐,1
质量真不错，孩子很喜欢，价格稍贵，如果家里孩子不大，建议可以买小一号的。,1
挺好的，质量和服务都蛮好,1
内容较晦涩，小孩不感兴趣,0
里面有黄色的不太满意 跟我想想的有点差距,0
奶瓶收到了，材质真的很好。奶瓶一定要好用的 观望的赶紧下手吧~,1
电力强劲，但愿持续的时间也能长一些,1
贵且于我无用，买亏了,0
非常喜欢啊，希望有更多款式,1
不好用，非常不好用。,0
第一次给差评，拆开有一角就是破的，质量堪忧,0
不评价杂志好坏。诱导订杂志 但从二月开始发送,0
挺好，不错，喜欢，，,1
用起来非常好，3G上网给力,1
帮同事买的 ，很水润,1
商家对于销售商品后的服务很不周到，而且登记信息由差异，开不了增税专用发票就直接登记开不了就好了，为何还要虚报？另外，开不了的情况下为何不联系买家看是否要开普票，不联系，不开票的态度非常不好,0
质量和做工都不错，尺码准，穿着舒服，是正品。卖家服务态度不错，物流速度快，很满意，下次还会来哦~,1
衣服蛮不错的，女朋友很喜欢！下次再光顾,1
怎么感觉没什么效果啊,0
说好的博世品牌呢，为什么是韦斯特，还那么贵，韦斯特用不了这么多钱，受骗的感觉,0
发货快，皮质很好，很喜欢,1
包收到了，发货快，质量做工都很好，与卖家描述的一样，非常好满意，快递也很给力，满分。,1
鞋子有很大一股异味，就是放了香包都不管用，质量很糟，下次不会再买,0
还不错，女儿穿起很合身,1
就那么回事吧，没比地摊强多少,0
T恤非常给力呢，质量好，价格平民，有需要的可以选购！,1
好喝，就是发货太慢了,1
手表挺漂亮的，挺喜欢，但是密封太差，没几天功夫，表壳里面有进水的现象了，希望商家认真对待,0
东西拿到手，我只代了，半天就坏了，东西很不好,0
热力传递很快，很好用,1
质量很好，适合现在这个季节穿，而且也很合身，下次再来,1
"看起来,没什么可读性,不好",0
东西一如既往的好，好多次够买了,1
口味不错，适合不习惯甜食的人,1
质量很好，面料很不错，做工精致，款式很潮，尺码标准，穿着很漂亮很舒服,1
宝贝收到了，我家小宝很喜欢，真的是物超所值,1
跟电视连接的速度就提升的不大,0
干 而且使劲按才能出来一点 最多就是里面放了试用装 盖子也合不严实 哪来那么多好评 呵呵,0
第一，这次物流慢了点。第二，快递员送货时，我正好出去了，我也在积极联系邻居和家人，帮忙回去领快递了，但是送货员态度真的很差劲。第三，快递员真给京东丢人。,0
不好意思因为这段时间外出了所以评价晚了，包包两三天就收到了，很漂亮，皮质很好，看上去很有档次，男朋友很喜欢！好评！,1
买给朋友的，说是还好，偏薄。不过是全棉的，就价格而言，不错了。,1
对于这个价格也就这样的货色，我也没法说啥了，连带着对京东也很失望。非要说点那就是一个字——差*n(不给一颗星无法评价，无奈点击，大家懂得就好),0
掉色得厉害。。。。。。。。。,0
是不是正品我就不知道了，反正质量比泛滥的某王要好,1
垃圾厂品，用一个月里面布料全部坏了，什么质量啊，还有拉链也掉了，,0
上当受骗了，希望大家不要再到这家店购买商品。真是啃爹,0
做工粗糙，材料实在一般，根本不是描述的那样，评价的人看起来不少，其实只是一个人在说，这个店铺谎言欺骗消费者嫌疑。请大家再不要上当。,0
图书非常好，速度快。,1
没有发票，右边那只明显比较歪,0
物流实在是让我无语了，来回折腾，客服更让我来气说能退，结果退的时候就不说话了，一点诚信没有，邮费都赶上酱油钱了，不说别的，反正就是很不满意，很不爽。客服很差。,0
色差巨大，跟旧的一样，而且纱已经蹦开了，有只袖子是重新扎过了，好多线，不好……,0
手感太差。。太轻太轻太轻。。。。,0
不怎么样0 没有描述的好,0
刚带上，表扣就坏了，不给力,0
裤子很好看，颜色很不错，样式很OK，自己很喜欢,1
和图片不一样 很四方 很土 不是一般难看 。建议那些看图片买的要小心了。,0
还可以 开始穿的时候有点滑,0
给单位买的，质量还可以，没反应不好,1
买的时候并没有看到买同样的一款两双才赠送凉鞋，所以买了两双不是一款的鞋子并没有收到赠品，不是在意赠不赠东西，而是店主应该提早标清楚。这次购物非常的不愉快。,0
买的灯已经收到了，包装很厚实，没有磕碰的现象，灯的材料很好,1
东西一般般，也没有用上,0
没有背带，cd挤坏了，样子很好。,1
手电亮度不错，但是卖家说的四电双充只给个我一个充电器而且当晚试充，充电器以及两节电池都已经烧了无法使用，还差一点把我家的沙发点燃，东西很不好，希望卖家能给我个解决方案,0
使用此电池后，电脑老死机。,0
很香，没有受潮，是外面实体店的味道，下次还会再来,1
留香时间特别短！！！感觉半个小时味道就没有了！,0
没收到，快寄过来，点错了,0
真的很一般，颜色没有那么鲜亮，衣服也很薄。看起来一点都不高档。垃圾。,0
很好，非常满意，值得购买。,1
质量不怎么样，还那么贵，,0
设计不合理，使用不方便。,0
衣服到了 衣服是坏的 衣服有十厘米长的裂缝 很失望 衣服好看 但质量都没有怎么去做 哎！,0
款式很漂亮很好和图片一样,0
外包装太旧，里面有东西贴不紧掉出来。碟子有明显的杂音，不知道是什么问题？,0
做工还行，就是价格没啥优惠，还说是加价购，结果比单买还贵，有点被忽悠的感觉。,1
是110码的吗？商家怎么发货的？明显是120码相当不满意,0
什么乱七八糟的东西，根本就没有任何效果，不是擦帆布鞋的，联系客服说是擦鞋底橡胶部分的边缘的，几十块钱就是白费了，没有任何用，要买的人慎重，别让你的钱打水漂,0
衣服布料不是很好，而且尺寸也不对，买来根本没法穿。失望,0
一般般，这够10个字了吧,0
质量还行吧，就是布屑太多。,0
很喜欢 使用很方便 便于携带,1
实物没有照片好看！有些失望！,0
很不错，穿起来舒服，颜色也不错,1
不是正品，附家里存货对比照，前为正品，后为网购的。,0
内容蛮好的，经典书，买本收藏,1
掉色严重，洗过好几次了，还是掉色，不会再在京东买这个牌子的T恤了，怎么能这样呢,0
我是因为我原来的硒鼓打出来的东西有污迹所以才买这个试试看的，果不其然，不靠谱！！！！这硒鼓绝对分心情吧，打印十张，两张清楚其他没法看！！！！！绝对差评！！！！！！能退货么京东！！！！！！,0
款式还不错，但是怎么收到的时候没有发票呢？,0
差评 卖给我别的牌子的手套 还5倍的价格,0
一点都不好吃，和台湾的一点都不一样，难吃，差评,0
很愉快的购物非常满意的购物,0
后悔啊，很差劲，各位慎重考虑好评啊,0
非常垃圾的一次购买体验。从下单到收货，至少用了五六天。最可气的是收到货后光盘已经和外壳脱离，光盘磨的不成样子了，好赖能用就不计较了。,0
好好好，老师推荐的，希望用得上,1
非常好用，就是前面短了点,1
个头够大，送给孩子玩的，快递当晚就送到了。,1
东西很好，无色差，只是看实际比图片大跟电脑包一样大。客服也非常好。为什么差评？快递***的太慢。离我家那么近居然等了一个星期。打电话每次都是敷衍了事。我在京东买了衣服都换了次货人家都到了,0
用之前得摇一摇喔，除霜效果比较理想！,1
还好，宝宝穿着还挺好的,0
物流很快，料子不错，也很舒服，非常满意,1
还以为会有真题在里面。原来只有答案，好吧，亏了10块钱邮费！！,1
就一个薄薄的破袋子装着，暴力运输中，书都被磨破了！！！而且还死贵死贵的！！！,0
物流很给力 很快 包装完好 很好的宝贝 跟店家描述的一样 质量不错 买家服务态度也很好 很喜欢,1
什么玩意快递就是垃圾,0
赠送的，包装已破损，不好,0
质量太差，一拉就断了,0
包包质量很好，颜色很正，大小也很合适，做工很精细，满意好评 。,1
手套还行，不知道冬天骑能不能保暖,1
厂家发货快，如果用起来有效果，我还买这家的药。又快又实惠。,1
一般般，本来也不贵，好评吧,0
款式蛮好的，满意的一次购物,1
好，不错，希望早点考上,1
面料做工很好，穿着舒适！发货快,1
电池挺不错，价格不贵容量大，充电快挺耐用满意,1
领子稍大了点儿，挺好看的,1
还可以吧！不过还是没达到我的理想标准吧！,1
真垃圾 也就值*不是一般的薄！,0
不好，打开包装一块看就是二手货，上边全是泥,0
东西还好吧，很一般，没什么新意吧,0
只能用一个字来形容就是差，,0
没有产品广告所说的效果明显,0
很不错的主板，一次点亮。只是包装太差了，这么贵的主板，盒子上连个封条也没有，主板的塑料袋上也没有封条。不知是不是被拆过的....所以只给两星。,0
很好，经典之作。给同学买了一本,1
奶味很浓香大品牌很好不同口味的宝贝超喜欢价格实惠提高免疫力非常满意还不错自定义,1
感觉不是那么的好，而且很轻,0
这个小孩很喜欢…都自己拼起锻炼动手能力,1
严重退色，穿出来版型不错,0
送的膜和买的不一样，买的时候说一样，骗子,0
我以为是四件套，结果是单间的,0
桌布非常满意，质量很好，简洁、大方。,1
物流很快，包装完好，没有损坏，质量不错。,1
一本小小册子，里面的内容随便在网上都搜到，出版有点坑人。,0
总体来说还不错，收货时可能是运输当中出现磕碰。店主愉快的给予了换货！,1
谢谢老板，还送了礼物！,1
说好的买2送1买之前还问了客服确定了，结果就发了2个，收到之后问客服也没人应。骗人的把戏难怪没有评论，估计都是差评。,0
衣服料子挺厚实的，是棉的，很不错。款式也很漂亮，宝宝很喜欢,1
一直都在使用，很好的牌子,1
还可以吧，就是没有NFC,0
凑单用，没什么用处，差评！！,0
没有第一次好 这次是第二次买不满意,0
还不错，但是感觉质量不是很好，代用。,1
不是正版的就是不行，唉,0
真是无语，吸尘能力不敢恭维，静音没感觉到！声音大,0
一打开包裹，出来这种东西,0
速度奇慢！说好是早上10点到12点没想到却是下午三点才送到！,0
真的很实用，非常好，后悔买晚了。,1
准时送到了，没有想象的好看，而且明明看的是两只熊，为什么送去的时候只有一只，还没有穿衣服！,0
垃圾，简直就是垃圾！千万不要买这家的东西太歪了！,0
非常好的卖家 质量也超级棒,1
我换码号连双袜子都没有送，,0
还可以和图片上没什么差别，也很好用，,1
宝贝收到了，摸起来手感不错～,1
中文发音还可以，但是英语发音非常难听，听不清。可以说根本一点用处都没有，因为我希望孩子能听英语版，如果是中文版，网站都有啦，这是一次非常不开心的购物旅程。,0
有色差，质量不好，总之不满意,0
一分钱一分货，质量不好,0
看了评价才买的，结果一点都不好，本来是买的Canon的，结果给了一个Nkoon的，而且盖子也不紧，不推荐,0
不理想，存在质量缺陷，第一次物流问题，换货到是快，第二次质量问题，反应两天了，没什么动静！,0
蛮好看的，很精致，包装不错，满意吧。,1
用啦几天老公说我脸有点变黑 脸上还起啦好多小豆豆都不敢用啦 刚拿回来的时候 瓶子周围上就有好多摩痕 问客服说没事，包啦好几层为什么还有摩痕，感觉不是正品,0
书缺页缺的不是一点点。有图有真相。,0
破玩意儿，盗版，页都没印全，垃圾东西，谁买谁倒霉,0
内容乱串，包装很好，但是碟片质量不太好，内容中穿插其他的视频片段，晕死。,0
垃圾东西，买回来不通电，说好换线给我。结果不换直接叫我退货。服务态度不好电饭锅也垃圾。,0
就是很重，还没用呢。,1
书就没塑封，还有明显折痕。,0
从心里说啊！希望各位不要买了，这家货不好说好的8g内存卡，支架，充电器，什么都没有！话不多说，还望各位不要有侥幸心理，会吃亏上当的。,0
检测显卡不对，还未拆机。,0
节省空间 就是好像薄了点,1
质量差，穿着很不舒服，。。。,0
不知道什么原因，才用了几天，然后硬件检测出来C7计数错误，询问客服说不影响使用，不知道是不是硬盘出现故障还是主板问题或者是线路问题！！！！,0
不是想象的样子，不好看。,0
靠，衣服都能发错，我买的140的，给我发的130，孩子穿上以后，裙子成背心了，真是无语,0
多快好省 京东 挺好的 专业性强,0
宝贝不错，质量很好。与卖家描述的完全一致，非常满意 卖家的服务太棒了，考虑非常周到，完全超出期望值 卖家发货速度非常快，包装非常仔细，全5分,1
送了4个气瓶！用了两个都是刚开始火大！10几分钟后?太小了！气瓶太假！,0
买错了！口语是国人读的，从第一句话就听出来了，听着很别扭，完全达不到学习口语的目标，强烈不推荐。,0
有异味，都过了半个月了，还是有味道，感觉不值,0
好差的东西，物流慢东西质量差的都睁不开眼，我嘞个去,0
一直用这个牌子，好用、安全,1
质量很好， 很有分量,1
香喷喷就是这次货巳经是存货了今年过期，哎,1
颜色随机那就是发最难看的，真心差，坑……爹,0
收到的是另一唱片公司的单CD，虽然也是肖邦的，但是阿劳演奏的，已申请退货,0
衣服没有图片好看，买的后悔！！！！,0
太好了这个赠品，很实用,1
质量太不给力啦，拿到手一拆开，结果都烂了一面！,0
不好用，就算没装东西也很重的感觉，背着不舒服?,0
质量还行，就是声音有点小，钻到桌子下面听声音很不方便,1
厚厚的泡沫包装，完好无损。餐具很好看，花色雅致，质量也很好，和图片上一模一样。非常喜欢。发货很快，快递也很给力，赞！,1
这样的服务态度也能在京东卖东西，京东迟早被这样的卖家玩死的。,0
非常好的入门书~~~学习中~~~~~~~~~~~,1
这骨瓷餐具很好，款式好看，价格也不贵，店家还送了好多东西，很喜欢,1
东西很差，很差！手指太短了！戴的超难受……根本就没办法我用，强烈不推荐使用,0
电池没电了怎么办怎么办怎么办,0
骗人的东西虽然价格不贵但是感觉被骗了。不实用,0
骑一个月把手生锈了 咨询客服照片也传给他看看 之前解释说下雨没檫干净水 现在都不理了 悲催的购物,0
"较为满意,刀柄颜色好看。",1
内容就是盗版瑜伽圣经里的。。。。。,0
省水，送货及时，颜色鲜亮，看了心情不错,1
还行吧寄过来衣服就有2个小洞也懒得换本身便宜货,0
还行 就是有点粗糙 但样子很不多,1
除了这件，其他的都收到了，一星都不想给！,0
质量非常好，物超所值，下次推荐朋友来买！,1
大了点，而且感觉定位不准，光标四处跑，与想象中有差异。,1
还不错，虽然少发了东西，但是经过沟通后能及时补发！,1
垃圾服装，京东没好货。连续两次买的衣服都穿不下。,0
质量很好，送货及时，赞一下！,1
衣服有三个扣子都掉了 太垃圾了,0
质量确实很一般，还不如地摊货；发货是蓝黑不分；该裤应该是早就淘汰的款式面料，永远不会再购买该家所谓旗舰店产品。,0
比较详尽，内容介绍清晰，还有很多例子,1
语法讲的不是很全面，很详细,0
宝贝质量很好，外型时尚，做工精致，效果不错，性价比很高，卖家服务很好,1
用几天就坏了。烧化了。,0
民主法治是社会发展的方向，主管领导讲来更有意义,1
垃圾，简直不能直视，什么东西,0
已经用了两套奥洛菲的化妆品了，感觉挺好的。,0
